,sepal_length,sepal_width,petal_length,petal_width,target,tsne_1,tsne_2
0,5.1,3.5,1.4,0.2,setosa,-23.354464,1.6101701
1,4.9,3.0,1.4,0.2,setosa,-20.91098,2.8221037
2,4.7,3.2,1.3,0.2,setosa,-20.696262,1.6455209
3,4.6,3.1,1.5,0.2,setosa,-20.377882,1.951945
4,5.0,3.6,1.4,0.2,setosa,-23.295105,1.1370374
5,5.4,3.9,1.7,0.4,setosa,-25.249775,0.98173636
6,4.6,3.4,1.4,0.3,setosa,-20.916056,1.0441434
7,5.0,3.4,1.5,0.2,setosa,-22.641848,1.8339077
8,4.4,2.9,1.4,0.2,setosa,-19.626411,2.102537
9,4.9,3.1,1.5,0.1,setosa,-21.282436,2.516292
10,5.4,3.7,1.5,0.2,setosa,-24.905743,1.6859958
11,4.8,3.4,1.6,0.2,setosa,-21.894964,1.4537529
12,4.8,3.0,1.4,0.1,setosa,-20.555283,2.5834744
13,4.3,3.0,1.1,0.1,setosa,-19.381186,1.5593187
14,5.8,4.0,1.2,0.2,setosa,-26.218727,1.5000538
15,5.7,4.4,1.5,0.4,setosa,-26.291204,0.9273069
16,5.4,3.9,1.3,0.4,setosa,-25.446077,1.3093349
17,5.1,3.5,1.4,0.3,setosa,-23.425766,1.7304119
18,5.7,3.8,1.7,0.3,setosa,-25.729458,1.8197162
19,5.1,3.8,1.5,0.3,setosa,-24.305334,0.9514114
20,5.4,3.4,1.7,0.2,setosa,-24.426231,2.5715213
21,5.1,3.7,1.5,0.4,setosa,-24.072292,1.2071664
22,4.6,3.6,1.0,0.2,setosa,-20.907415,0.2228786
23,5.1,3.3,1.7,0.5,setosa,-23.095707,3.0176256
24,4.8,3.4,1.9,0.2,setosa,-21.901722,0.90543413
25,5.0,3.0,1.6,0.2,setosa,-21.344484,3.0665877
26,5.0,3.4,1.6,0.4,setosa,-22.912685,2.4712188
27,5.2,3.5,1.5,0.2,setosa,-23.85101,1.8964275
28,5.2,3.4,1.4,0.2,setosa,-23.530548,2.1047525
29,4.7,3.2,1.6,0.2,setosa,-21.105448,1.734731
30,4.8,3.1,1.6,0.2,setosa,-21.098997,2.203489
31,5.4,3.4,1.5,0.4,setosa,-24.327103,2.5248563
32,5.2,4.1,1.5,0.1,setosa,-25.32143,0.51741594
33,5.5,4.2,1.4,0.2,setosa,-25.960033,0.8941126
34,4.9,3.1,1.5,0.2,setosa,-21.34369,2.4734635
35,5.0,3.2,1.2,0.2,setosa,-21.914255,2.573121
36,5.5,3.5,1.3,0.2,setosa,-24.931238,2.3226426
37,4.9,3.6,1.4,0.1,setosa,-22.879694,0.9088933
38,4.4,3.0,1.3,0.2,setosa,-19.67599,1.8110455
39,5.1,3.4,1.5,0.2,setosa,-23.042143,2.001632
40,5.0,3.5,1.3,0.3,setosa,-22.953695,1.4033917
41,4.5,2.3,1.3,0.3,setosa,-19.301294,2.8042238
42,4.4,3.2,1.3,0.2,setosa,-19.945509,1.2737736
43,5.0,3.5,1.6,0.6,setosa,-23.373724,2.9022725
44,5.1,3.8,1.9,0.4,setosa,-24.462706,0.27630857
45,4.8,3.0,1.4,0.3,setosa,-20.575195,2.5919924
46,5.1,3.8,1.6,0.2,setosa,-24.340147,0.8257532
47,4.6,3.2,1.4,0.2,setosa,-20.499573,1.555526
48,5.3,3.7,1.5,0.2,setosa,-24.615171,1.5294884
49,5.0,3.3,1.4,0.2,setosa,-22.286676,2.0946305
50,7.0,3.2,4.7,1.4,versicolor,12.002831,0.868314
51,6.4,3.2,4.5,1.5,versicolor,13.673234,0.75020283
52,6.9,3.1,4.9,1.5,versicolor,11.840064,0.35866496
53,5.5,2.3,4.0,1.3,versicolor,18.547405,2.4807658
54,6.5,2.8,4.6,1.5,versicolor,13.25377,0.48263925
55,5.7,2.8,4.5,1.3,versicolor,16.692339,1.0925384
56,6.3,3.3,4.7,1.6,versicolor,13.651007,-0.013519235
57,4.9,2.4,3.3,1.0,versicolor,19.307648,3.9682574
58,6.6,2.9,4.6,1.3,versicolor,13.023159,0.9061607
59,5.2,2.7,3.9,1.4,versicolor,18.525808,2.0167723
60,5.0,2.0,3.5,1.0,versicolor,19.452913,3.644911
61,5.9,3.0,4.2,1.5,versicolor,16.054073,1.610244
62,6.0,2.2,4.0,1.0,versicolor,19.023495,2.3234565
63,6.1,2.9,4.7,1.4,versicolor,14.747274,0.12547901
64,5.6,2.9,3.6,1.3,versicolor,17.678825,3.4633737
65,6.7,3.1,4.4,1.4,versicolor,12.934629,1.2392604
